featured,date,start_time,event_name,venue,venue_address,venue_lat,venue_lng,venue_notes,venue_map_status,region,url,category
,2026-07-02,7:00 PM,Zachary James Watkins & William Winant,Yerba Buena Center for the Arts,"701 Mission Street, San Francisco, CA 94103",37.7851263,-122.4015078,,,san-francisco,https://ybca.org/event/zachary-james-watkins-william-winant-7-2-26/,Music
,2026-07-02,7:00 PM,Very Be Careful + DJ Esli in Hollywood,Gold-Diggers,"5632 Santa Monica Blvd, Los Angeles, California, United States",34.0905765,-118.3125646,,,los-angeles,https://allevents.in/los-angeles/very-be-careful-dj-esli-in-hollywood/200030172107920,Music
,2026-07-02,7:00 PM,Mark Shilansky & Friends!,Birds Of A Feather Jazz Lounge,"710 West 1st Street, Los Angeles, United States",34.0562211,-118.2507494,,,los-angeles,https://allevents.in/los-angeles/mark-shilansky-and-friends/100001990934628067,Music
,2026-07-02,7:00 PM,Nana at The Echo,The Echo,"1822 West Sunset Blvd, Los Angeles, CA 90026, United States",34.0791123,-118.2687075,,,los-angeles,https://allevents.in/los-angeles/nana-at-the-echo/2400030048088217,Community
,2026-07-02,7:30 PM,Chaunté Wayans - I'm Not Crazy,Cobb's Comedy Club,"San Francisco, United States",37.7749295,-122.4194155,,,san-francisco,https://allevents.in/san-francisco/chaunté-wayans-im-not-crazy/210003258089948,Music
,2026-07-02,7:30 PM,Pupusas and Punchlines | Latin Food | Comedy | 300th Anniversary Show!,Jaragua Restaurant,"4493 Beverly Boulevard, Los Angeles, United States",34.0764254,-118.3066964,,,los-angeles,https://allevents.in/los-angeles/pupusas-and-punchlines-|-latin-food-|-comedy-|-300th-anniversary-show/100001990545648619,Music
,2026-07-02,7:30 PM,LOS ANGELES AS COLOSSUS—A Tour of LA's Architectural Past w/ Domenic Priore,Philosophical Research Society,"3910 Los Feliz Boulevard, Los Angeles, United States",34.1131212,-118.2776505,,,los-angeles,,
,2026-07-02,8:00 PM,Patrick Keane,Punch Line Comedy Club - San Francisco,"San Francisco, United States",37.7749295,-122.4194155,,,san-francisco,https://allevents.in/san-francisco/patrick-keane/210001714280984,Comedy
,2026-07-02,8:00 PM,"1st Thursdays: SamoaBoy @ Pagan Idol: 70s-80s 45rpm ""Miami Magic""",Pagan Idol,"Brighton Jones, 242 Bush St, San Francisco, CA 94104, United States",37.7903968,-122.4048266,,,san-francisco,https://allevents.in/san-francisco/1st-thursdays-samoaboy-pagan-idol-70s-80s-45rpm-miami-magic/200030204366735,Music
,2026-07-02,8:00 PM,Kelly McFarling,The Independent,"San Francisco, CA",37.7749295,-122.4194155,,,san-francisco,https://apeconcerts.com/events/kelly-mcfarling-260702/,Music
,2026-07-02,8:00 PM,4NEY (Bump 1 Year Party),Monarch - Upstairs Lounge,"101 6th St, San Francisco, United States",37.7809908,-122.4083218,,,san-francisco,https://allevents.in/san-francisco/4ney-bump-1-year-party/100001990908253179,Music
,2026-07-02,8:00 PM,Patrick Keane at Punch Line San Francisco,Punch Line San Francisco,"444 Battery Street, San Francisco, CA 94111, United States",37.795486,-122.4001359,,,san-francisco,https://allevents.in/san-francisco/patrick-keane-at-punch-line-san-francisco/2400029970480104,Comedy
,2026-07-02,8:00 PM,Jazz Notes: Gershwin Piano Concerto,"Kaul Auditorium, Reed College","Portland, Oregon",45.515232,-122.6783853,,,portland-metro,https://cmnw.org/concerts-events/2026-summer-festival/jazz-notes-gershwin-piano-concerto/2419,Music
,2026-07-02,8:00 PM,Fenix Rising,The Blue Diamond Bar & Grill,"2016 NE Sandy Boulevard, Portland, OR 97232, United States",45.5258729,-122.6450386,,,portland-metro,https://bluediamondpdx.net/event/fenix-rising/2026-07-02/,Music
,2026-07-02,8:00 PM,Skald,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",45.5118045,-122.6230846,,,portland-metro,https://hawthornetheatre.com/event/skald/hawthorne-theatre/portland-oregon/,Music
,2026-07-02,8:00 PM,"Matthew Payne, Stange Bangs, Alex C. Mills, Danny Balentine, Tessa Butterfield",White Eagle Saloon,"836 N Russell St., Portland, OR 97227",45.5409198,-122.675459,,,portland-metro,https://www.mcmenamins.com/events/277128-matthew-payne,Music
,2026-07-02,8:00 PM,Where's West? + Eternal Wave + Taxi,Swan Dive,"727 SE Grand Ave, Portland, OR 97214, USA",45.5174948,-122.6609934,,,portland-metro,https://www.lonelygodpdx.com/events/wheres-west-eternal-wave-taxi-swan-dive,Music
,2026-07-02,8:00 PM,Obey Me! 7th Anniversary Gala,The Bellwether,"Los Angeles, CA",34.0549076,-118.242643,,,los-angeles,https://apeconcerts.com/events/obey-me-260702/,Music
,2026-07-02,8:00 PM,J-POP SOUND CAPSULE @AX2026,Crypto.com Arena,"1111 S Figueroa St, Los Angeles, CA 90015",34.0430058,-118.2673597,,,los-angeles,https://events.leapevents.com/event/ax26-jsc-scx26-t06,Music
,2026-07-02,8:00 PM,"Escape-ism, Gary Wilson",Zebulon Café Concert,"2478 Fletcher Dr, Los Angeles, CA 90039, USA",34.1071961,-118.2547508,,,los-angeles,https://allevents.in/los-angeles/escape-ism-gary-wilson/200030204294414,Music
,2026-07-02,9:00 AM,Anime Expo 2026 - General Registration,Los Angeles Convention Center,"1201 South Figueroa Street, Los Angeles, CA 90015",34.043884,-118.2707894,,,los-angeles,https://events.leapevents.com/event/ax26-gen-reg_scx26r01,
,2026-07-02,9:30 PM,Brazilian Disco,Madrone Art Bar,"500 Divisadero Street, San Francisco, CA 94117, United States",37.7742154,-122.4374123,,,san-francisco,https://madroneartbar.com/event/brazilian-disco-7-2026-07-02/2026-07-02/,Nightlife
,2026-07-02,9:30 PM,OKONSKI: A Waterfront Blues Afterparty,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",45.5194403,-122.6762525,,,portland-metro,https://www.jacklondonrevue.com/tm-event/okonski-a-waterfront-blues-afterparty/,Music
,2026-07-03,,Bloom Above the Waterline: Lotus Art Show,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209",45.5256896,-122.6729931,,,portland-metro,https://lansugarden.org/bloom-above-the-waterline-lotus-art-show/,Music
,2026-07-03,,July 3rd Fireworks Celebration,The Oregon Garden,"Silverton, Oregon",45.0051213,-122.7831455,,,,https://oregongarden.org/july-3rd-fireworks/,Music
,2026-07-03,,Prefontaine Classic,Hayward Field at the University of Oregon,"Eugene, Oregon",44.052121,-123.0896705,,,eugene,https://kpic.com/news/local/oregon-heritage-commission-to-present-tradition-designation-at-51st-prefontaine-classic-eugene-lane-county-oregon,
,2026-07-03,,Halfway to Hells Canyon Gravel Festival,,"Halfway, Oregon 97834",44.880715,-117.1146173,,,,https://traveloregon.com/things-to-do/events/bicycling-events/halfway-to-hells-canyon-gravel-festival/,Music
,2026-07-03,,Corvallis Chronicles Walking Tour,Courtyard Corvallis,"400 Southwest 1st Street, Corvallis, Oregon, 97333",44.5604299,-123.260859,,,corvallis,https://ticketstripe.com/events/7291109142132181,Theater
,2026-07-03,,Meet Your Streets - July 2026,Courtyard Corvallis,"400 Southwest 1st Street, Corvallis, Oregon, 97333",44.5604299,-123.260859,,,corvallis,https://ticketstripe.com/events/5629109144102322,Arts
,2026-07-03,,Halfway's Fourth of July Gravel Festival,Pine Eagle High School,"Halfway, Oregon",44.880715,-117.1146173,,,,https://goeasternoregon.com/2026/03/05/halfways-fourth-of-july-expands-with-gravel-festival/,Markets
,2026-07-03,10:00 AM,Art in Bloom Art Fair,San Francisco Conservatory of Flowers,"100 John F Kennedy Drive, San Francisco, United States",37.7726377,-122.4602502,,,san-francisco,https://allevents.in/san-francisco/art-in-bloom-art-fair/100001990290644896,Music
,2026-07-03,10:00 PM,Roddy Lima at 1015 Folsom,1015 Folsom,"1015 Folsom St, San Francisco, CA 94103, United States",37.7781224,-122.4057868,,,san-francisco,https://allevents.in/san-francisco/roddy-lima-at-1015-folsom/2400029944947934,Community
,2026-07-03,10:00 PM,GorillaT,Academy LA,"6021 Hollywood Blvd, Los Angeles, CA 90028",34.1020309,-118.3209006,,,los-angeles,https://academy.la/event/gorillat-nightclub-near-me-discover-academy-la-2026-july-3-best-night-club-near-me-hollywood-los-angeles/,Music
,2026-07-03,10:00 PM,SLAYPRIDE LA : LOS ANGELES BLACK PRIDE : PRIDE AFTER DARK : PRIDE MIXTAPE,,"Los Angeles, United States",34.0549076,-118.242643,,,los-angeles,https://allevents.in/los-angeles/slaypride-la-los-angeles-black-pride-pride-after-dark-pride-mixtape/100001987710429402,Music
,2026-07-03,10:00 PM,GorillaT at Academy Nightclub - Los Angeles,Academy Nightclub - Los Angeles,"6021 Hollywood Blvd, Los Angeles, CA 90028, United States",34.1020309,-118.3209006,,,los-angeles,https://allevents.in/los-angeles/gorillat-at-academy-nightclub-los-angeles/2400029968087012,Music
,2026-07-03,10:00 PM,"VIBE: Lovers and Friends' Party in Los Angeles, CA!",Novel Hollywood,"6356 Hollywood Boulevard, Los Angeles, United States",34.1012813,-118.3285314,,,los-angeles,https://allevents.in/los-angeles/vibe-lovers-and-friends-party-in-los-angeles-ca/100001991944074348,Music
